new.Symbol,new.EGID,new.Uniprot
RPS6KC1,26750,Q96S38
RPS6KL1,83694,Q9Y6S9
RYK,6259,P34925
SBK1,388228,Q52WX2
SBK2,646643,P0C263
SCYL1,57410,Q96KG9
SCYL2,55681,Q6P3W7
SEPHS1,22929,P49903
SEPHS2,22928,Q99611
SGK1,6446,O00141
SGK2,10110,Q9HBY8
SGMS1,259230,Q86VZ5
SGMS2,166929,Q8NHU3
SHC1,6464,P29353
SHPK,23729,Q9UHJ6
SIK1,150094,P57059
SIK2,23235,Q9H0K1
SIK3,23387,Q9Y2K2
SLK,9748,Q9H2G2
SMG1,23049,Q96Q15
SNRK,54861,Q9NRH2
SOX9,6662,P48436
SPEF2,79925,Q9C093
SPEG,10290,Q15772
SPHK1,8877,Q9NYA1
SPHK2,56848,Q9NRA0
SQSTM1,8878,Q13501
SRC,6714,P12931
SRMS,6725,Q9H3Y6
SRPK1,6732,Q96SB4
SRPK2,6733,P78362
SRPK3,26576,Q9UPE1
STK10,6793,O94804
STK11,6794,Q15831
STK16,8576,O75716
STK17A,9263,Q9UEE5
STK17B,9262,O94768
STK19,8859,P49842
STK24,8428,Q9Y6E0
STK25,10494,O00506
STK3,6788,Q13188
STK31,56164,Q9BXU1
STK32A,202374,Q8WU08
STK32B,55351,Q9NY57
STK32C,282974,Q86UX6
STK33,65975,Q9BYT3
STK35,140901,Q8TDR2
STK36,27148,Q9NRP7
STK38,11329,Q15208
STK38L,23012,Q9Y2H1
STK39,27347,Q9UEW8
STK4,6789,Q13043
STK40,83931,Q8N2I9
STRADA,92335,Q7RTN6
STRADB,55437,Q9C0K7
STYK1,55359,Q6J9G0
SYK,6850,P43405
TAF1,6872,P21675
TAF1L,138474,Q8IZX4
TAF9,6880,Q16594
TAOK1,57551,Q7L7X3
TAOK2,9344,Q9UL54
TAOK3,51347,Q9H2K8
TBCK,93627,Q8TEA7
TBK1,29110,Q9UHD2
TBRG4,9238,Q969Z0
TEC,7006,P42680
TEK,7010,Q02763
TESK1,7016,Q15569
TESK2,10420,Q96S53
TEX14,56155,Q8IWB6
TGFA,7039,P01135
TGFB2,7042,P61812
TGFBR1,7046,P36897
TGFBR2,7048,P37173
TGFBR3,7049,Q03167
TIE1,7075,P35590
TJP2,9414,Q9UDY2
TK1,7083,P04183
TK2,7084,O00142
TLK1,9874,Q9UKI8
TLK2,11011,Q86UE8
TMEM11,8834,P17152
TNIK,23043,Q9UKE5
TNK1,8711,Q13470
TNK2,10188,Q07912
TNNI3K,51086,Q59H18
TP53RK,112858,Q96S44
TPK1,27010,Q9H3S4
TRIM24,8805,O15164
TRIM27,5987,P14373
TRIM28,10155,Q13263
TRIO,7204,O75962
TRPM6,140803,Q9BX84
TRPM7,54822,Q96QT4
TSSK1B,83942,Q9BXA7
TSSK2,23617,Q96PF2
TSSK3,81629,Q96PN8
TSSK4,283629,Q6SA08
TSSK6,83983,Q9BXA6
TTBK1,84630,Q5TCY1
TTBK2,146057,Q6IQ55
TTK,7272,P33981
TTN,7273,Q8WZ42
TXK,7294,P42681
TYK2,7297,P29597
TYRO3,7301,Q06418
UCK1,83549,Q9HA47
UCK2,7371,Q9BZX2
UCKL1,54963,Q9NWZ5
UHMK1,127933,Q8TAS1
ULK1,8408,O75385
ULK2,9706,Q8IYT8
ULK3,25989,Q6PHR2
ULK4,54986,Q96C45
VRK1,7443,Q99986
VRK2,7444,Q86Y07
VRK3,51231,Q8IV63
WEE1,7465,P30291
WEE2,494551,P0C1S8
WNK1,65125,Q9H4A3
WNK2,65268,Q9Y3S1
WNK3,65267,Q9BYP7
WNK4,65266,Q96J92
XRCC6BP1,91419,Q9Y6H3
XYLB,9942,O75191
YES1,7525,P07947
ZAP70,7535,P43403
